Key,Value
T1059.001,Software has the ability to execute PowerShell scripts.
T1212,Adversaries may exploit software vulnerabilities in an attempt to collect credentials.
T1033,Software has the ability to identify the username on the compromised host.
T1218.005,"]hta</code>

Mshta.exe can be used to bypass application control solutions that do not account for its potential use."
T1069.003,Azure CLI  and the Google Cloud Identity Provider API also provide interfaces to obtain permissions groups.
T1558,Kerberos is an authentication protocol widely used in modern Windows domain environments.
T1078,Attacker has obtained valid accounts to gain initial access.
T1102.003,Attacker has received C2 instructions from user profiles created on legitimate websites such as Github and TechNet.
T1016,"Attacker used batch scripts to enumerate network information, including information about trusts, zones, and the domain."
T1048.001,Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel.
T1557.003,"Adversaries may spoof as a rogue DHCP server on the victim network, from which legitimate hosts may receive malicious network configurations."
T1486,Software has maliciously encrypted victim's database systems and demanded a cryptocurrency ransom be paid.
T1568,"For , the threat actors used dynamic DNS domains from a variety of free providers, including No-IP, Oray, and 3322."
T1560,Software has used ZIP to compress data gathered on a compromised host.
T1482,Software to enumerate domains and to discover trust between federated domains.
T1083,Software has the capability to gather the victim's current directory.
T1106,"Attacker has leveraged the Windows API, including using CreateProcess or ShellExecute, to perform a variety of tasks."
T1059.006,"During , threat actors used a Python reverse shell and the PySoxy SOCKS5 proxy tool."
T1219,Software.
T1059.001,Software has used PowerShell to execute the Meterpreter downloader TinyMet.
T1578.003,Deleting an instance or virtual machine can remove valuable forensic artifacts and other evidence of suspicious behavior if the instance is not recoverable.
T1573.002,Software encrypts C2 traffic with AES and RSA.
T1027,"Software has used multiple layers of obfuscation to avoid analysis, including its Base64 encoded payload."
T1059.007,During Attacker deployed JScript web shells on compromised systems.
T1021.008,Adversaries may leverage  to log directly into accessible cloud hosted compute infrastructure through cloud native methods.
T1114.001,Software can parse e-mails on a target machine.
T1204.002,Attacker has attempted to lure victims into enabling malicious macros within email attachments.
T1018,Software can identify remote systems through the <code>net view</code> command.
T1222.001,Software can modify the binary ACL to prevent security tools from running.
T1555.003,Software has been observed dropping browser password grabber modules.
T1001.001,Software has used byte randomization to obscure its behavior.
T1555,Attacker used account credentials they obtained to attempt access to Group Managed Service Account  passwords.
T1102.002,Software can use Dropbox as its C2 server.
T1082,"Attacker has collected the hostname, OS version, service pack version, and the processor architecture from the victim’s machine."
T1584.001,Attacker operates a global network of compromised websites that redirect into a traffic distribution system  to select victims for a fake browser update page.
